fold,OA,Weighted_F1,Macro_F1,Kappa
1,0.9063,0.9104,0.7264,0.8473
2,0.9161,0.9189,0.7505,0.871
3,0.9235,0.9242,0.7565,0.8806
4,0.9228,0.9254,0.7903,0.882
5,0.9142,0.9167,0.7433,0.8677
TEST,0.9201,0.9282,0.6849,0.873
