fold,OA,Weighted_F1,Macro_F1,Kappa
1,0.9287,0.9308,0.7667,0.8831
2,0.9284,0.9311,0.7762,0.8893
3,0.9303,0.9307,0.7604,0.8912
4,0.9329,0.9307,0.7928,0.8962
5,0.9257,0.9264,0.7519,0.8849
TEST,0.9348,0.9393,0.7279,0.8952
