fold,OA,Weighted_F1,Macro_F1,Kappa
1,0.91,0.9143,0.7335,0.8536
2,0.9242,0.9261,0.7763,0.883
3,0.9228,0.9226,0.751,0.8795
4,0.9222,0.9217,0.7822,0.8803
5,0.9161,0.9178,0.7427,0.8707
TEST,0.9281,0.9311,0.7157,0.8846
