fold,OA,Weighted_F1,Macro_F1,Kappa
1,0.8857,0.8951,0.6872,0.8171
2,0.8905,0.8993,0.7118,0.8332
3,0.8954,0.8991,0.7076,0.8384
4,0.8922,0.8967,0.748,0.8361
5,0.8727,0.8832,0.6937,0.809
TEST,0.9075,0.9202,0.6374,0.8534
