fold,OA,Weighted_F1,Macro_F1,Kappa
1,0.7728,0.7905,0.6342,0.6566
2,0.7835,0.7902,0.5796,0.6816
3,0.7273,0.7422,0.5555,0.6091
4,0.6949,0.706,0.5035,0.5635
5,0.6653,0.6902,0.4959,0.5365
TEST,0.7845,0.804,0.59,0.6804
