fold,OA,Weighted_F1,Macro_F1,Kappa
1,0.9235,0.9244,0.7451,0.8743
2,0.9276,0.9285,0.7812,0.8876
3,0.93,0.93,0.7574,0.8905
4,0.9319,0.9308,0.7925,0.895
5,0.9212,0.9229,0.7551,0.8784
TEST,0.9358,0.9385,0.7278,0.8967
