fold,OA,Weighted_F1,Macro_F1,Kappa
1,0.8797,0.8873,0.7883,0.7353
2,0.9116,0.9163,0.817,0.7995
3,0.9082,0.9124,0.8336,0.7909
4,0.8865,0.8954,0.7973,0.7424
5,0.9164,0.9196,0.8402,0.8101
TEST,0.8718,0.8948,0.6106,0.5112
