fold,OA,Weighted_F1,Macro_F1,Kappa
1,0.9102,0.9131,0.7263,0.8538
2,0.9135,0.9193,0.7499,0.8677
3,0.9239,0.9254,0.764,0.8818
4,0.9196,0.9227,0.7942,0.8773
5,0.9115,0.9159,0.7359,0.8647
TEST,0.9292,0.9337,0.7087,0.8868
