fold,OA,Weighted_F1,Macro_F1,Kappa
1,0.9066,0.9104,0.7236,0.848
2,0.9207,0.9234,0.7657,0.878
3,0.9236,0.923,0.7563,0.8808
4,0.9244,0.9252,0.7877,0.884
5,0.9095,0.9169,0.7311,0.8626
TEST,0.9314,0.935,0.7307,0.8901
