fold,OA,Weighted_F1,Macro_F1,Kappa
1,0.9169,0.9216,0.7508,0.865
2,0.9248,0.9271,0.7723,0.8841
3,0.9281,0.9295,0.7721,0.8881
4,0.9289,0.93,0.8058,0.891
5,0.9189,0.9213,0.7577,0.8753
TEST,0.9297,0.935,0.7091,0.8876
