fold,OA,Weighted_F1,Macro_F1,Kappa
1,0.9052,0.9112,0.7229,0.8468
2,0.9145,0.9191,0.7561,0.8689
3,0.9181,0.9207,0.7572,0.8733
4,0.9253,0.9272,0.7938,0.8857
5,0.9102,0.9151,0.7468,0.8631
TEST,0.927,0.9314,0.7231,0.8836
