fold,OA,Weighted_F1,Macro_F1,Kappa
1,0.9187,0.9232,0.8235,0.7812
2,0.9232,0.9252,0.8312,0.7934
3,0.9099,0.9146,0.7857,0.739
4,0.9501,0.9512,0.8957,0.8806
5,0.9061,0.9097,0.7687,0.7199
TEST,0.9047,0.9124,0.7845,0.7896
