fold,OA,Weighted_F1,Macro_F1,Kappa
1,0.8958,0.9005,0.7994,0.7628
2,0.9166,0.9202,0.8264,0.8104
3,0.9067,0.9107,0.826,0.7844
4,0.894,0.9018,0.8129,0.758
5,0.9262,0.9287,0.8518,0.8307
TEST,0.9167,0.9276,0.6922,0.6213
