fold,OA,Weighted_F1,Macro_F1,Kappa
1,0.8914,0.9009,0.7474,0.6958
2,0.9159,0.92,0.816,0.8018
3,0.9285,0.9314,0.8463,0.809
4,0.9211,0.9238,0.8011,0.7879
5,0.9105,0.9165,0.8166,0.7917
TEST,0.8697,0.88,0.7385,0.6848
