fold,OA,Weighted_F1,Macro_F1,Kappa
1,0.9241,0.9259,0.7573,0.8756
2,0.9299,0.9311,0.7763,0.8913
3,0.9312,0.9312,0.7818,0.8921
4,0.9329,0.9324,0.8139,0.896
5,0.927,0.9281,0.7592,0.8871
TEST,0.9327,0.936,0.7177,0.8913
