fold,OA,Weighted_F1,Macro_F1,Kappa
1,0.9109,0.9145,0.7476,0.8551
2,0.9208,0.9228,0.764,0.8776
3,0.9219,0.9227,0.7457,0.8784
4,0.9263,0.9273,0.7933,0.887
5,0.9152,0.9186,0.7451,0.8702
TEST,0.9286,0.934,0.7183,0.886
