fold,OA,Weighted_F1,Macro_F1,Kappa
1,0.9178,0.9204,0.8106,0.7711
2,0.9245,0.923,0.8424,0.7833
3,0.867,0.8792,0.7497,0.6343
4,0.9516,0.9527,0.9017,0.8839
5,0.8964,0.8983,0.7352,0.6774
TEST,0.9162,0.9206,0.7996,0.8079
