fold,OA,Weighted_F1,Macro_F1,Kappa
1,0.9192,0.9226,0.7642,0.8734
2,0.9087,0.9151,0.7206,0.8589
3,0.9108,0.9127,0.7514,0.8632
4,0.9076,0.9117,0.7504,0.8625
5,0.926,0.9291,0.7688,0.8848
TEST,0.9102,0.9165,0.6949,0.8475
