fold,OA,Weighted_F1,Macro_F1,Kappa
1,0.9346,0.9356,0.8521,0.8122
2,0.9358,0.9367,0.8607,0.8239
3,0.9298,0.9303,0.8151,0.7784
4,0.9625,0.9625,0.9175,0.9072
5,0.9223,0.9222,0.7952,0.7483
TEST,0.9257,0.9287,0.8166,0.8271
