fold,OA,Weighted_F1,Macro_F1,Kappa
1,0.9208,0.9232,0.744,0.8705
2,0.9215,0.9225,0.7511,0.8781
3,0.9245,0.9249,0.745,0.8817
4,0.9246,0.9241,0.7703,0.8837
5,0.9161,0.9187,0.7365,0.8704
TEST,0.9305,0.9339,0.711,0.888
