fold,OA,Weighted_F1,Macro_F1,Kappa
1,0.9111,0.9134,0.749,0.8642
2,0.9277,0.9287,0.7495,0.8915
3,0.9233,0.9256,0.7646,0.8783
4,0.9221,0.9264,0.7458,0.8777
5,0.9292,0.9314,0.7989,0.8897
TEST,0.9253,0.9313,0.7376,0.8798
