fold,OA,Weighted_F1,Macro_F1,Kappa
1,0.9104,0.916,0.7994,0.7652
2,0.9163,0.9194,0.822,0.7808
3,0.8944,0.9025,0.7796,0.7086
4,0.9466,0.9481,0.8896,0.8738
5,0.897,0.9032,0.7314,0.7
TEST,0.9012,0.9098,0.7773,0.7842
