fold,OA,Weighted_F1,Macro_F1,Kappa
1,0.9094,0.9169,0.7431,0.8595
2,0.9067,0.9147,0.7248,0.8566
3,0.9108,0.9152,0.759,0.8642
4,0.9143,0.9194,0.7654,0.8725
5,0.9273,0.931,0.7795,0.8871
TEST,0.9009,0.9113,0.6784,0.8342
