fold,OA,Weighted_F1,Macro_F1,Kappa
1,0.8971,0.9034,0.7286,0.844
2,0.92,0.9249,0.7498,0.8807
3,0.9097,0.9156,0.7367,0.8582
4,0.9019,0.9126,0.7036,0.8477
5,0.9192,0.923,0.7833,0.8748
TEST,0.9193,0.9271,0.7287,0.8711
