fold,OA,Weighted_F1,Macro_F1,Kappa
1,0.9185,0.9228,0.7373,0.8667
2,0.9234,0.9252,0.7609,0.8813
3,0.9303,0.9285,0.7678,0.8906
4,0.9337,0.9328,0.7951,0.8978
5,0.9217,0.9237,0.7377,0.879
TEST,0.9279,0.9316,0.6965,0.8843
