fold,OA,Weighted_F1,Macro_F1,Kappa
1,0.9031,0.9104,0.8002,0.7536
2,0.904,0.9085,0.8042,0.7561
3,0.8915,0.8996,0.7759,0.7019
4,0.9464,0.9486,0.8879,0.8746
5,0.8899,0.8984,0.746,0.6907
TEST,0.8971,0.9075,0.7838,0.7791
