fold,OA,Weighted_F1,Macro_F1,Kappa
1,0.9249,0.9245,0.7519,0.8766
2,0.9245,0.9262,0.766,0.8831
3,0.9255,0.9261,0.7495,0.8834
4,0.9292,0.9278,0.7904,0.8904
5,0.9232,0.9245,0.7514,0.8811
TEST,0.9351,0.9377,0.7211,0.8952
