fold,OA,Weighted_F1,Macro_F1,Kappa
1,0.9202,0.9266,0.7587,0.8758
2,0.9151,0.9202,0.7331,0.8688
3,0.9251,0.9271,0.7936,0.8851
4,0.9199,0.9241,0.7813,0.8805
5,0.9344,0.9358,0.7901,0.8975
TEST,0.9164,0.9218,0.6995,0.8575
