backbone,ECE,viol_marg_%,size_marg,single_marg_%,macro_marg,viol_rr_%,size_rr,single_rr_%,macro_rr,viol_crr_%,size_crr,single_crr_%,macro_crr
PhenoSSM,0.0349,20.0,1.92,31.0,0.889,0.0,2.24,23.0,0.937,0.0,4.34,0.0,0.982
S4D,0.0156,20.0,1.99,35.9,0.82,0.0,2.36,25.6,0.891,0.0,4.44,0.0,0.983
Transformer,0.0126,40.0,2.02,28.0,0.666,0.0,2.67,14.2,0.839,0.0,4.45,0.0,0.98
MSTACNN,0.0164,36.0,2.29,22.8,0.768,0.0,2.78,14.2,0.868,4.0,4.34,0.3,0.978
L-TAE,0.0255,20.0,2.23,21.6,0.741,0.0,2.82,11.5,0.863,0.0,4.33,0.3,0.981
LSTM,0.0194,32.0,2.32,21.5,0.707,0.0,2.85,14.0,0.849,0.0,4.06,0.9,0.977
TempCNN,0.0642,16.0,2.36,14.9,0.72,0.0,3.03,7.0,0.858,0.0,4.4,0.5,0.98
Random Forest,0.113,24.0,2.26,15.7,0.82,0.0,2.96,7.5,0.917,0.0,4.47,0.5,0.979
