season,tau,mean_coverage,worst_province,avg_set_size,violations,n_provinces
rabi,0.9,0.9502,0.9021,2.53,0,4
rabi,0.95,0.9852,0.9748,3.373,0,4
rabi,0.99,0.9896,0.9856,3.588,0,4
rabi,1.0,0.9896,0.9856,3.588,0,4
