fold,OA,Weighted_F1,Macro_F1,Kappa
1,0.9346,0.9359,0.8549,0.8136
2,0.9272,0.9285,0.8412,0.802
3,0.9254,0.926,0.8104,0.7647
4,0.9627,0.9629,0.9159,0.9083
5,0.9216,0.9223,0.796,0.7528
TEST,0.9313,0.9334,0.8304,0.8393
