fold,OA,Weighted_F1,Macro_F1,Kappa
1,0.9294,0.9309,0.8448,0.7996
2,0.9351,0.935,0.8614,0.8174
3,0.9259,0.9268,0.8156,0.7673
4,0.9566,0.957,0.9079,0.8939
5,0.9223,0.9226,0.7964,0.7525
TEST,0.9239,0.9274,0.818,0.8237
