fold,OA,Weighted_F1,Macro_F1,Kappa
1,0.8992,0.9082,0.7305,0.8475
2,0.9199,0.9263,0.7499,0.8808
3,0.9113,0.9193,0.7415,0.861
4,0.9005,0.9131,0.7046,0.846
5,0.92,0.925,0.7929,0.8764
TEST,0.9085,0.9221,0.7064,0.8547
