fold,OA,Weighted_F1,Macro_F1,Kappa
1,0.9078,0.9136,0.7736,0.7296
2,0.9232,0.9264,0.8277,0.8166
3,0.9363,0.9384,0.8566,0.8266
4,0.922,0.9243,0.8032,0.7894
5,0.9224,0.9255,0.8423,0.8129
TEST,0.8963,0.9019,0.7816,0.7329
