fold,OA,Weighted_F1,Macro_F1,Kappa
1,0.9265,0.9284,0.7633,0.8796
2,0.931,0.9323,0.7887,0.8931
3,0.9318,0.9323,0.7698,0.8931
4,0.9329,0.9325,0.8061,0.8966
5,0.9257,0.9265,0.7484,0.8849
TEST,0.9379,0.9401,0.7407,0.8998
