fold,OA,Weighted_F1,Macro_F1,Kappa
1,0.9197,0.9201,0.8348,0.8052
2,0.9478,0.9481,0.8709,0.8712
3,0.9242,0.925,0.8604,0.8159
4,0.9195,0.9234,0.8352,0.8056
5,0.9388,0.9386,0.8699,0.8527
TEST,0.9344,0.9406,0.7418,0.6699
