fold,OA,Weighted_F1,Macro_F1,Kappa
1,0.9329,0.9349,0.8105,0.8965
2,0.9461,0.9469,0.8478,0.9159
3,0.9417,0.9416,0.8137,0.9101
4,0.9466,0.9478,0.8389,0.9183
5,0.9456,0.9469,0.8368,0.9134
TEST,0.9297,0.9347,0.7086,0.8874
