fold,OA,Weighted_F1,Macro_F1,Kappa
1,0.9357,0.9366,0.8538,0.8141
2,0.9274,0.9277,0.8435,0.7983
3,0.9261,0.9265,0.8111,0.7667
4,0.9575,0.9578,0.9087,0.8956
5,0.9204,0.9206,0.798,0.7456
TEST,0.9245,0.9278,0.8226,0.8244
