fold,OA,Weighted_F1,Macro_F1,Kappa
1,0.478,0.565,0.43,0.3772
2,0.496,0.5924,0.5136,0.4104
3,0.3633,0.4098,0.4298,0.3048
4,0.4727,0.5567,0.4394,0.3786
5,0.529,0.6141,0.4323,0.4271
TEST,0.5584,0.6578,0.4238,0.4511
